
<<<Analysis>>>
The input is "the cost of one peach is higher than that of one apple."
The first line is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher than that of one apple."
The first word is "the cost of one peach is higher
