
<<<Analysis>>>
The variable sc is initialized with a Scanner object.
It prints the value of the variable sc.nextInt() modulo 7.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 7 is 1.
The value of the variable sc.nextInt() modulo 
