
<<<Analysis>>>
The variable X is initialized with 103.
The variable h is initialized with 100.
The variable count is initialized with 0.
The variable sc is initialized with a Scanner object.
The variable sc is used to read the input.
The variable sc is closed.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is multiplied by 1.01.
The variable count is incremented by 1.
The variable h is
