
<<<Analysis>>>
The input is 3776.
The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The fourth character is 6.

The first character is 3.
The second character is 7.
The third character is 7.
The
