
<<<Analysis>>>
The variable a, variable b, variable c and variable d are initialized with 1, 2, 2 and 2 respectively according to the input.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output.
It checks if the sum of the variables a, b, c and d is equal to 7. If it is, it prints the output
