
<<<Analysis>>>
The input is "CODEFESTIVAL".
The first character is "C".
The second character is "O".
The third character is "D".
The fourth character is "E".
The fifth character is "F".
The sixth character is "E".
The seventh character is "S".
The eighth character is "T".
The ninth character is "I".
The tenth character is "V".
The eleventh character is "A".
The twelfth character is "L".
The thirteenth character is ".".
The fourteenth character is ".".
The fifteenth character is ".".
The sixteenth character is ".".
The seventeenth character is ".".
The eighteenth character is ".".
The nineteenth character is ".".
The twentieth character is ".".
The twenty-first character is ".".
The twenty-second character is ".".
The twenty-third character is ".".
The twenty-fourth character is ".".
The twenty-fifth character is ".".
The twenty-sixth character is ".".
The twenty-seventh character is ".".
The twenty-eighth character is ".".
The twenty-ninth character is ".".
The thirtieth character is ".".
The thirty-first character is ".".
The thirty-second character is ".".
The thirty-third character is ".".
The thirty-fourth character is ".".
The thirty-fifth character is ".".
The thirty-sixth character is ".".
The thirty-seventh character is ".".
The thirty-eighth character is ".".
The thirty-ninth character is ".".
The fortieth character is ".".
The forty-first character is ".".
The forty-second character is ".".
The forty-third character is ".".
The forty-fourth character is ".".
The forty-fifth character is ".".
The forty-sixth character is ".".
The forty-seventh character is ".".
The forty-eighth character is ".".
The forty-ninth character is ".".
The fiftieth character is ".".
The fifty-first character is ".".
The fifty-second character is ".".
The fifty-third character is ".".
The fifty-fourth character is ".".
The fifty-fifth character is ".".
The fifty-sixth character is ".".
The fifty-seventh character is ".".
The fifty-eighth character is ".".
The fifty-ninth character is ".".
The sixtieth character is ".".
The sixty-first character is ".".
The sixty-second character is ".".
The sixty-third character is ".".
The sixty-fourth character is ".".
The sixty-fifth character is ".".
The sixty-sixth character is ".".
The sixty-seventh character is ".".
The sixty-eighth character is ".".
The sixty-ninth character is ".".
The seventieth character is ".".
The seventy-first character is ".".
The seventy-second character is ".".
The seventy-third character is ".".
The seventy-fourth character is ".".
The seventy-fifth character is ".".
The seventy-sixth character is ".".
The seventy-seventh character is ".".
The seventy-eighth character is ".".
The seventy-ninth character is ".".
The eightieth character is ".".
The eighty-first character is ".".
The eighty-second character is ".".
The eighty-third character is ".".
The eighty-fourth character is ".".
The eighty-fifth character is ".".
The eighty-sixth character is ".".
The eighty-seventh character is ".".
The eighty-eighth character is ".".
The eighty-ninth character is ".".
The ninetieth character is ".".
The ninety-first character is ".".
The ninety-second character is ".".
