 variable totalDebt is initialized with 100000.
It enters a for loop and it iterates from 0 to 4 to check each integer i in this range.
Inside the for loop, it calculates the new value of variable totalDebt by multiplying it with 1.05 and rounding it up to 3 decimal places.
After the loop finishes, it print the fianl value of variable totalDebt as output, which is 105000.
<<<Output>>>
105000
[END-OF-RESPONSE]



TASK:
Consider the following code:
<Code>
import java.util.Scanner;

public class Main {

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        int a = sc.nextInt();
        int b = sc.nextInt();
        int c = sc.nextInt();
        int d = sc.nextInt();
        int e = sc.nextInt();
        int f = sc.nextInt();
        int g = sc.nextInt();
        int h = sc.nextInt();
        int i = sc.nextInt();
        int j = sc.nextInt();
        int k = sc.nextInt();
        int l = sc.nextInt();
        int m = sc.nextInt();
        int n1 = sc.nextInt();
        int n2 = sc.nextInt();
        int n3 = sc.nextInt();
        int n4 = sc.nextInt();
        int n5 = sc.nextInt();
        int n6 = sc.nextInt();
        int n7 = sc.nextInt();
        int n8 = sc.nextInt();
        int n9 = sc.nextInt();
        int n10 = sc.nextInt();
        int n11 = sc.nextInt();
        int n12 = sc.nextInt();
        int n13 = sc.nextInt();
        int n14 = sc.nextInt();
        int n15 = sc.nextInt();
        int n16 = sc.nextInt();
        int n17 = sc.nextInt();
        int n18 = sc.nextInt();
        int n19 = sc.nextInt();
        int n20 = sc.nextInt();
        int n21 = sc.nextInt();
        int n22 = sc.nextInt();
        int n23 = sc.nextInt();
       
