he variable a, variable b and variable c are initialized with 7, 5 and 1 respectively according to the input.
The gcd function is called with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively with parameters b and a % b.
The gcd function is called recursively with parameters a % b and b.
The gcd function is called recursively
