
30 6
1 2 0
1 2 2
2 3 0
2 3 4
3 4 0
3 4 8
4 5 0
4 5 16
5 6 0
5 6 32
6 7 0
6 7 64
7 8 0
7 8 128
8 9 0
8 9 256
9 10 0
9 10 512
10 11 0
10 11 1024
11 12 0
11 12 2048
12 13 0
12 13 4096
13 14 0
13 14 8192
14 15 0
14 15 16384
15 16 0
15 16 32768
16 17 0
16 17 65536
17 18 0
17 18 131072
18 19 0
18 19 262144
19 20 0
19 20 524288
20 21 0
20 21 1048576
21 22 0
21 22 2097152
22 23 0
22 23 4194304
23 24 0
23 24 8388608
24 25 0
24 25 16777216
25 26 0
25 26 33554432
26 27 0
26 27 67108864
27 28 0
27 28 134217728
28 29 0
28 29 268435456
29 30 0
29 30 536870912
