Input: 005; Output: 1
Input: ???0????6981????41?2??144????9????????7????255?13??6?15?1???64???1????1; Output: 
Input: 0000000000; Output: 0
Input: 5; Output: 1
Input: 0???95?4?????4?7673??1??6??66?0?7?240???1?????02?172???0??02?433???7?????5844??8?????00?03?229???08?49??5??57????2??0?69????????634?????35??8?2??0??1??33??4???97?????????3?47?????778???1??3?3??54???????6??72??6?90?82?90?6??51????8?????1????5?483????79?886????9?77?????5?312?36?392???????????5?9???27????????????34????????13?71??8?9??03?2??87??0??5???520?44???6?8?102????1???5?8????11?72????61????4563???6?4???07?6??149???686?12??28??????3????1???6??40?6?763?1???102?6?2?????0?1?634????5?88?????0????3???????34?7?78?6?661?????????????0??8?2?????31?4????17?3?3????33????8?2???????171????4?8?4?39262??8767??1?9?71???0?38???; Output: 
Input: ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????; Output: 
Input: 3; Output: 0
Input: ?44; Output: 
Input: ??2??5; Output: 
Input: 7?4; Output: 
Input: ?6?42???8??2??06243????9??3???7258??5??7???????774????4?1??17???9?5?70???76???; Output: 
Input: ?; Output: 
Input: ????54??7?8???36?; Output: 
Input: ?2?????????????????2??4??????????5????9????????????????????????????????????????????????7???0??????????????5???1?????????8????????????????9????????????????4?8???????????????????????????3????????????0????????????????????????????????????6????????9????????????????????????????????5????????7?????????????????????8?????3??????1?????????????????????????????6????????3????????????0????35????3???????????????????????????????7????????????0??????????4???????????????????????????????????????1??5??????????; Output: 
Input: ??; Output: 
