Input: 0 1000000000000 0; Output: 
Input: 500000000000 499999999999 1000000000000; Output: 
Input: 500000000000 500000000001 1000000000000; Output: 
Input: 1000000000000 1000000000000 1000000000000; Output: 
Input: 1000000000000 0 1000000000000; Output: 
Input: 99374288514 9551434405 999519154734; Output: 
Input: 2 3 3; Output: 
Input: 500000000000 500000000000 1000000000000; Output: 
Input: 1000000000000 1000000000000 0; Output: 
Input: 9839285289 99663130322 999454076321; Output: 
Input: 0 1000000000000 1000000000000; Output: 
Input: 999553244087 9473760141 99451169880; Output: 
Input: 9352360840 999532174388 99550343731; Output: 
Input: 0 0 1000000000000; Output: 
Input: 999664720736 99150401673 9177110689; Output: 
Input: 0 0 0; Output: 
Input: 99818575601 999284522381 9657141929; Output: 
Input: 1000000000000 0 0; Output: 
