Input: 2; Output: 2
Input: 1130; Output: 1151
Input: 64993; Output: 64997
Input: 1328; Output: 1361
Input: 9552; Output: 9587
Input: 100000; Output: 100003
Input: 31398; Output: 31469
Input: 56588; Output: 56591
Input: 89; Output: 89
Input: 90371; Output: 90371
Input: 20; Output: 23
Input: 30; Output: 31
Input: 19610; Output: 19661
Input: 37; Output: 37
Input: 36; Output: 37
Input: 15684; Output: 15727
Input: 59; Output: 59
Input: 99992; Output: 100003
Input: 59054; Output: 59063
Input: 92227; Output: 92227
