Input: 2; Output: ab
Input: 74; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdab
Input: 64; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcd
Input: 100; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcd
Input: 10; Output: abcdabcdab
Input: 4; Output: abcd
Input: 6; Output: abcdab
Input: 1; Output: a
Input: 5; Output: abcda
Input: 128; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcd
Input: 16; Output: abcdabcdabcdabcd
Input: 99; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabc
Input: 7; Output: abcdabc
Input: 9; Output: abcdabcda
Input: 47; Output: abcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabcdabc
Input: 3; Output: abc
Input: 8; Output: abcdabcd
