Input: 25038 4786; Output: 25038 29823
Input: 1 0; Output: 1 1
Input: 0 100000; Output: Impossible
Input: 63028 63028; Output: 63028 126055
Input: 0 0; Output: 0 0
Input: 4 10; Output: 10 13
Input: 26666 26666; Output: 26666 53331
Input: 59 96; Output: 96 154
Input: 59617 0; Output: 59617 59617
Input: 26666 52747; Output: 52747 79412
Input: 63028 0; Output: 63028 63028
Input: 7 1; Output: 7 7
Input: 0 38; Output: Impossible
Input: 45657 29028; Output: 45657 74684
Input: 100000 1; Output: 100000 100000
Input: 78608 4733; Output: 78608 83340
Input: 56207 53035; Output: 56207 109241
Input: 95816 80492; Output: 95816 176307
Input: 80236 14868; Output: 80236 95103
Input: 59617 28452; Output: 59617 88068
Input: 80236 80236; Output: 80236 160471
Input: 0 5; Output: Impossible
Input: 9458 39163; Output: 39163 48620
Input: 100000 100000; Output: 100000 199999
Input: 16 70; Output: 70 85
Input: 1 1; Output: 1 1
Input: 2637 28740; Output: 28740 31376
Input: 1 100000; Output: 100000 100000
Input: 42246 94024; Output: 94024 136269
Input: 2 2; Output: 2 3
Input: 0 1; Output: Impossible
Input: 0 6048; Output: Impossible
Input: 8 26; Output: 26 33
Input: 73415 4445; Output: 73415 77859
Input: 99227 53323; Output: 99227 152549
Input: 59617 59617; Output: 59617 119233
Input: 46 84; Output: 84 129
Input: 100000 0; Output: 100000 100000
Input: 82019 4498; Output: 82019 86516
Input: 9458 9458; Output: 9458 18915
Input: 63 82; Output: 82 144
Input: 26666 0; Output: 26666 26666
Input: 76826 4210; Output: 76826 81035
Input: 28449 80204; Output: 80204 108652
Input: 21 27; Output: 27 47
Input: 9458 0; Output: 9458 9458
Input: 6 0; Output: 6 6
Input: 6048 4158; Output: 6048 10205
Input: 80236 0; Output: 80236 80236
Input: 2 7; Output: 7 8
Input: 71 24; Output: 71 94
Input: 1 2; Output: 2 2
Input: 23256 15156; Output: 23256 38411
Input: 63028 28217; Output: 63028 91244
