Input: dqvkdzjtgcufnmmelwmorejziswnycjpyqqeyipdmslnpudrmideioxfvziulsmkemrlqlxcavidifytzgcwonafgaftfhvmodiykswipzbpkkhyvcslzgmlajffpxkxaworzviczeofylgcqujzymwkremqnggdoqlxikhacksjjtqncaogcbtfjnbgdkvirakzhtuwoblyrboiksnhnduhchohhpmhrlnwgsgxaqwwxvpddyxmfhjohvocpbf...; Output: Second
Input: knlxclouvxxbzezqaoygbihsasvdhbqqodwtcswbupuwbxadlphlcaxljeqqjdodglrjfzxsprndwcizmwfptsroubgbzotfwtfjibuuxzaujjbetavipjeccavwylmlordfnyxzcgorsfecwliztfjqdmfldkoqazcvlslsbvkgyzeoatelcvirmjqtlenddvqtcoevdeyjohgdmdfopooupfjtsoacjlxhjrrlwrwelyowuctiaegiqdlxfct...; Output: Second
Input: aabb; Output: First
Input: abcabc; Output: First
Input: ocvxailppytfwwqmfsaabdpzewzkziyhlywwwtcefmyoonfyfzwnrvttjfxxioctfnhmnrxptxtbearaqppopkokscggnenigwkpnyqkvcoldlcvybyqofnopaumykogqxhsovcfdbaiysqrmahasbcqaywvshdxlwkwvosxbrcwfewqcjqmqutebrrywxsrmuyeztlchlegzbbiojbdoycocqxgduswebgkzeuqkcmkyhfmimegfygxglwqowj...; Output: Second
Input: kgejbmvhcnhuzjprxooemkwmpmbamclzyyzaoklskvljcscftjtczbohnrxgrasoftgzvfziqhtjvsozaztonkdpldvhgajoidgnlvxznmaplfodzgtlzbrmzapafpyuuocsnmczulggztoxchwogvagaufvmsrluxixevduymyrvpinjtymxueevfunrlhnmhsvfbwqypjpjrlzjcekyeucriieyoqwjdfpwivrszrslfqfzqxsqchzzndpmui...; Output: Second
Input: zz; Output: First
Input: yjwfhhkieuirzhdxyjvdueljpklihfqpvkdewsbaudiaxaeebrgwttvfzfjbobuqfylgwynuczqpdkcyhpbhpoejtjlpobvjvnebqcmjqkmmhidigdkubgbhxebkwlughhsopwzkyitpbrurskgkdzcmrhsytaiammudughjwopkohfeizbbtmtzjywdvsfnosqjpdeswpmzluwxmyhvucmraphtvkcjmvisjyfmxnisexcqozogqjkepkkvixu...; Output: Second
Input: ryutiswauoznjxzpxarddkgfsqilyrqhfiuwkjnfsyvmwwnrpzxrwqplqsdgpfsszaysuclhziraknvawufitjumbpejqqjmtjobiscvjqciwnejfnyeotxdhgoyocyzoqhswjjhqrctsgpyvgukoqgnbyuzhchzvkpxbtnqnifckeggqbpqvkuiolvurafinpegtwwhptwuphkkrwowmwjjyvmjfvapdtlcpxvxhthldlfwovybfqwzbaghuhi...; Output: Second
Input: mnzkuvhbvyrfsmqxrcmpsxsevfeukupfwcffpagqphzziwvyngqngkbirrrmgqqnryfohakedtxgezupnahbosccnrvchauwfllnefsnwzaajqvqfddhyyjvdxnktbnaqjnhamwyorswltrzwrykxharomvhowvvilsavkbdrhvdbjqwpyyrsvunsnrvdonfzreppqjaxmvgfnxzqulapgupcnflfqcuvubeiexptimmzuakjnvyblihxqnqiqa...; Output: Second
Input: nnwwgwauxiznvumqtqrhnbudvquicvvkxulqysbbpcudusioozyggicixrlnrmftwyokijjersqfwdzglurlejrtqdzukspubhcfvkrubetqjuyyymrpfzkjvxwujayjgubfoggfrbfajblxzgkcsxpinpinjrrdzaatbpprnwvxbxlbzxhtcqrhtxpiyjmyzgnabuowysljghmikjixnuckesxglnhehuloovbontgyddbcioxhgpjiruusxiv...; Output: Second
