Input: 77 7 7; Output: 7
Input: 9 1 1; Output: 9
Input: 6895788044242644 3474119895793364 732614708; Output: 588285
Input: 462 183 8; Output: 19
Input: 462 183 8; Output: 19
Input: 6289344232651169 4170875805886064 618522710; Output: 635520
Input: 5363062262667637 2932858345469643 449197576; Output: 746200
Input: 462 183 8; Output: 19
Input: 3 1 4; Output: 0
Input: 10000000000000000 10000000000000000 1; Output: 588235294117647
Input: 462 183 8; Output: 19
Input: 3663662721733869 4845943245608254 787880219; Output: 290626
Input: 9999999999999998 1 1; Output: 674074074074072
Input: 462 183 8; Output: 19
Input: 462 183 8; Output: 19
Input: 10000000000000000 1 1; Output: 674074074074073
Input: 9230573804495452 8577408935470783 90893866; Output: 6347082
Input: 9999999999999999 1 1; Output: 674074074074073
Input: 1951414609070432 8979282171178729 260239468; Output: 468658
Input: 10000000000000000 1000000000000001 1000000000; Output: 625000
Input: 462 183 8; Output: 19
Input: 114 5 14; Output: 6
Input: 10000000000000000 10000000000000000 1000000000; Output: 588235
Input: 1 1 1; Output: 1
Input: 1 10000000000000000 123456; Output: 0
Input: 552719169048748 7822730034794389 374302919; Output: 92291
Input: 1 1000000000000000 1000000000; Output: 0
Input: 1 1000000000000000 1; Output: 0
Input: 111984789523940 8017182602114316 976839488; Output: 7164
Input: 10000000000000000 10000000000000000 1; Output: 588235294117647
Input: 2155990066796462 2710473050636183 563261158; Output: 239230
Input: 121212121 3434343434 56; Output: 216450
Input: 10000000000000000 9999999999999999 1; Output: 588235294117647
Input: 98 55 1; Output: 47
Input: 1 1 2; Output: 0
