Input: 1 2 1; Output: 0
Input: 1000 500500001 1000; Output: 0
Input: 111 111111111 111; Output: 0
Input: 1000 1000000000 1000; Output: 0
Input: 1 5 6; Output: 16
Input: 3 17 4; Output: 13
Input: 1000 0 1000; Output: 500500000
Input: 859 453892 543; Output: 126416972
Input: 1 1000000000 1; Output: 0
Input: 1000 500500000 1000; Output: 0
Input: 20 43 3; Output: 77
Input: 1000 500499999 1000; Output: 1
Input: 634 87973 214; Output: 14497197
Input: 432 10000 241; Output: 12587552
Input: 1 1 1; Output: 0
