Input: 18; Output: NO
Input: 200; Output: NO
Input: 24; Output: NO
Input: 665; Output: NO
Input: 688; Output: NO
Input: 26; Output: NO
Input: 2; Output: YES
Input: 19; Output: NO
Input: 33; Output: NO
Input: 289; Output: NO
Input: 12; Output: NO
Input: 240; Output: NO
Input: 29; Output: NO
Input: 512; Output: YES
Input: 260; Output: NO
Input: 383; Output: NO
Input: 38; Output: NO
Input: 1; Output: YES
Input: 4; Output: YES
Input: 47; Output: NO
Input: 49; Output: NO
Input: 23; Output: NO
Input: 373; Output: NO
Input: 1000; Output: NO
Input: 32; Output: YES
Input: 95; Output: NO
Input: 728; Output: NO
Input: 45; Output: NO
Input: 9; Output: NO
Input: 6; Output: NO
Input: 10; Output: NO
Input: 868; Output: NO
Input: 685; Output: NO
Input: 20; Output: NO
Input: 35; Output: NO
Input: 17; Output: NO
Input: 21; Output: NO
Input: 28; Output: NO
Input: 840; Output: NO
Input: 8; Output: YES
Input: 639; Output: NO
Input: 613; Output: NO
Input: 44; Output: NO
Input: 518; Output: NO
Input: 3; Output: NO
Input: 170; Output: NO
Input: 897; Output: NO
Input: 42; Output: NO
Input: 1000; Output: NO
Input: 37; Output: NO
Input: 64; Output: YES
Input: 256; Output: YES
Input: 700; Output: NO
Input: 13; Output: NO
Input: 817; Output: NO
Input: 27; Output: NO
Input: 5; Output: NO
Input: 11; Output: NO
Input: 31; Output: NO
Input: 871; Output: NO
Input: 40; Output: NO
Input: 580; Output: NO
Input: 16; Output: YES
Input: 46; Output: NO
Input: 41; Output: NO
Input: 48; Output: NO
Input: 14; Output: NO
Input: 7; Output: NO
Input: 30; Output: NO
Input: 36; Output: NO
Input: 43; Output: NO
Input: 15; Output: NO
Input: 22; Output: NO
Input: 685; Output: NO
Input: 116; Output: NO
Input: 39; Output: NO
Input: 213; Output: NO
Input: 34; Output: NO
Input: 25; Output: NO
Input: 57; Output: NO
Input: 705; Output: NO
Input: 61; Output: NO
Input: 50; Output: NO
