Input: 999999998; Output: 666666665
Input: 999999996; Output: 666666664
Input: 100; Output: 67
Input: 10000000; Output: 6666667
Input: 999999991; Output: 666666661
Input: 7; Output: 5
Input: 1; Output: 1
Input: 999999997; Output: 666666665
Input: 100000; Output: 66667
Input: 2; Output: 1
Input: 999999995; Output: 666666663
Input: 10000; Output: 6667
Input: 4; Output: 3
Input: 999999993; Output: 666666662
Input: 3; Output: 2
Input: 102; Output: 68
Input: 6; Output: 4
Input: 1000000; Output: 666667
Input: 100000000; Output: 66666667
Input: 999999994; Output: 666666663
Input: 101; Output: 67
Input: 999999999; Output: 666666666
Input: 1000; Output: 667
Input: 5; Output: 3
Input: 1000000000; Output: 666666667
Input: 999999992; Output: 666666661
