Input: 643; Output:  2
Input: 750; Output:  6
Input: 3; Output:  3
Input: 942; Output:  0
Input: 999; Output:  9
Input: 29; Output:  9
Input: 952; Output:  3
Input: 570; Output:  6
Input: 945; Output:  1
Input: 171; Output:  0
Input: 613; Output:  2
Input: 423; Output:  7
Input: 879; Output:  9
Input: 191; Output:  0
Input: 30; Output:  2
Input: 123; Output:  6
Input: 157; Output:  3
Input: 8; Output:  8
Input: 453; Output:  7
Input: 781; Output:  2
Input: 100; Output:  5
Input: 189; Output:  9
Input: 179; Output:  4
Input: 12; Output:  1
Input: 2; Output:  2
Input: 13; Output:  1
Input: 394; Output:  1
Input: 500; Output:  0
Input: 491; Output:  0
Input: 1000; Output:  3
Input: 270; Output:  6
Input: 1; Output:  1
Input: 11; Output:  0
Input: 121; Output:  5
Input: 500; Output:  0
Input: 108; Output:  5
Input: 289; Output:  1
