Input: 666666666 1; Output: 666666667
Input: 41 48; Output: 48
Input: 5 3; Output: 6
Input: 1000000000 1000000000; Output: 2000000000
Input: 6058 8581; Output: 8581
Input: 8 8; Output: 16
Input: 999999999 1; Output: 1000000000
Input: 1000000000 990000000; Output: 1980000000
Input: 999999990 10; Output: 1000000000
Input: 999999983 1; Output: 999999984
Input: 999999999 500000000; Output: 1000000000
Input: 1000000000 2; Output: 1000000002
Input: 999999999 1000000000; Output: 1000000000
Input: 100000000 10; Output: 100000010
Input: 14 15; Output: 15
Input: 453145 333625; Output: 667250
Input: 76770926 13350712; Output: 80104272
Input: 2233224 4394826; Output: 4394826
Input: 999999984 1; Output: 999999985
Input: 999999999 2; Output: 1000000000
Input: 97259 41764; Output: 125292
Input: 500000001 1000000000; Output: 1000000000
Input: 1000000000 999999999; Output: 1999999998
Input: 26 13; Output: 39
Input: 111 111; Output: 222
Input: 1 1; Output: 2
Input: 1000000000 1; Output: 1000000001
Input: 114514 114514; Output: 229028
Input: 999999997 1; Output: 999999998
Input: 197 894; Output: 894
Input: 1000000000 999999997; Output: 1999999994
Input: 878787 1; Output: 878788
Input: 25 13; Output: 26
Input: 100000000 1; Output: 100000001
Input: 123456 2; Output: 123458
Input: 121 1; Output: 122
Input: 687355301 142098087; Output: 710490435
