Input: 2010; Output: 2021
Input: 2006; Output: 2017
Input: 2896; Output: 2908
Input: 2098; Output: 2110
Input: 50000; Output: 50028
Input: 1900; Output: 1906
Input: 2096; Output: 2108
Input: 2097; Output: 2109
Input: 2014; Output: 2025
Input: 2342; Output: 2353
Input: 1072; Output: 1112
Input: 99900; Output: 99906
Input: 2072; Output: 2112
Input: 1096; Output: 1108
Input: 1899; Output: 1905
Input: 12345; Output: 12351
Input: 2100; Output: 2106
Input: 1004; Output: 1032
Input: 1884; Output: 1924
Input: 1874; Output: 1885
Input: 49376; Output: 49416
Input: 1788; Output: 1828
Input: 1872; Output: 1912
Input: 50501; Output: 50507
Input: 3998; Output: 4009
Input: 1000; Output: 1006
Input: 2002; Output: 2013
Input: 99988; Output: 100016
Input: 1994; Output: 2005
Input: 2016; Output: 2044
Input: 99999; Output: 100010
Input: 1179; Output: 1190
Input: 1796; Output: 1808
Input: 1797; Output: 1809
Input: 2000; Output: 2028
Input: 1191; Output: 1202
Input: 99996; Output: 100024
Input: 5094; Output: 5100
Input: 1002; Output: 1013
Input: 1313; Output: 1319
