"col0","col1","col2","col3"
"0","sum",16,23
"0","sum",16,26
"0","sum",16,29
"0","sum",36,39
"0","sum",36,40
"0","sum",36,44
"0","sum",36,45
"0","num",66,75
"0","num",66,77
"0","num",181,190
"0","num",181,192
"0","p",127,130
"0","...=...",66,66
"0","...=...",181,181
"INPUT","INPUT",52,52
"is","is",63,63
"is","is",63,73
"is","is",73,73
"is","is",112,112
"is","is",132,132
"is","is",158,158
"is","is",165,167
"is","is",178,178
"is","is",178,188
"is","is",188,188
"buf","buf",130,135
"buf","buf",130,137
"buf","buf",135,135
"buf","buf",135,137
"buf","buf",149,150
"first","first",35,38
"first","first",35,43
"x","x",17,17
"x","x",17,18
"x","x",17,22
"x","x",22,22
"x","x",22,23
"x","x",22,25
"x","x",23,23
"x","x",23,24
"x","x",24,24
"x","x",25,25
"x","x",25,26
"x","x",26,26
"x","x",26,27
"x","x",27,27
"x","x",35,37
"x","x",37,40
"x","x",37,45
"x","x",45,46
"false","minus",62,77
"false","minus",177,192
"""""","...=...",11,11
"n","n",17,22
"n","n",22,23
"n","n",22,25
"n","n",23,24
"n","n",25,26
"n","n",26,27
"n","n",124,125
"n","n",125,131
"n","n",131,131
"n","n",143,144
"y","y",35,37
"y","y",37,39
"y","y",37,40
"y","y",37,44
"y","y",37,45
"y","y",39,40
"y","y",40,40
"y","y",44,45
"y","y",45,45
"y","y",45,46
"y","y",46,46
"num","num",63,63
"num","num",63,65
"num","num",65,69
"num","num",178,178
"num","num",178,180
"num","num",180,184
"num","...?...:...",77,77
"num","...?...:...",192,192
"true","minus",67,77
"true","minus",182,192
"true","...=...",67,67
"true","...=...",182,182
"b","b",74,74
"b","b",74,75
"b","b",88,90
"b","b",108,110
"b","b",113,115
"b","b",115,117
"b","b",128,130
"b","b",133,133
"b","b",133,135
"b","b",158,158
"b","b",158,160
"b","b",189,189
"b","b",189,190
"b","(...)...",90,90
"b","(...)...",110,110
"b","(...)...",117,117
"b","(...)...",130,130
"b","(...)...",135,135
"sb","sb",110,114
"sb","sb",110,116
"sb","sb",110,117
"sb","sb",117,114
"sb","sb",117,116
"sb","sb",117,117
"sb","append(...)",110,110
"sb","append(...)",117,117
"p","p",131,135
"p","p",131,137
"o","o",200,202
"skip(...)","b",87,88
"skip(...)","b",106,108
"skip(...)","b",127,128
"skip(...)","b",146,147
"skip(...)","b",166,168
"nl(...)","x",15,17
"nl(...)","n",14,17
"read(...)","num",63,63
"read(...)","num",63,65
"read(...)","num",178,178
"read(...)","num",178,180
"read(...)","b",73,74
"read(...)","b",112,113
"read(...)","b",132,133
"read(...)","b",158,158
"read(...)","b",158,160
"read(...)","b",188,189
"read(...)","...=...",63,63
"read(...)","...=...",112,112
"read(...)","...=...",132,132
"read(...)","...=...",158,158
"read(...)","...=...",178,178
"(...)...","...=...",130,130
"(...)...","...=...",135,135
"...+=...","sum",23,24
"...+=...","sum",24,29
"...+=...","sum",26,27
"...+=...","sum",27,29
"...+=...","sum",39,40
"...+=...","sum",40,41
"...+=...","sum",44,45
"...+=...","sum",45,46
"...+=...","sum",46,47
"...-=...","num",69,75
"...-=...","num",69,77
"...-=...","num",184,190
"...-=...","num",184,192
"... * ...","sum",18,19
"... * ...","...=...",18,18
"... + ...","num",75,75
"... + ...","num",75,77
"... + ...","num",190,190
"... + ...","num",190,192
"... + ...","...=...",75,75
"... + ...","...=...",190,190
"-...","...?...:...",77,77
"-...","...?...:...",192,192
"...?...:...","...=...",52,52
"new ByteArrayInputStream(...)","...?...:...",52,52
"new PrintWriter(...)","out",53,56
"new PrintWriter(...)","...=...",53,53
"new StringBuilder(...)","sb",107,110
"new byte[]","buf",144,149
"new char[]","buf",125,130
"System.in","...?...:...",52,52
"[summary param] -1 in toString","[summary] to write: ReturnValue in toString",0,0
"[summary param] 0 in IOException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in IOException",0,0
"[summary param] -1 in append","[summary] to write: ReturnValue in append",0,0
"[summary param] -1 in reverse","[summary] to write: ReturnValue in reverse",0,0
"[summary param] -1 in insert","[summary] to write: ReturnValue in insert",0,0
"[summary param] -1 in replace","[summary] to write: ReturnValue in replace",0,0
