 --- modulename: execution_path_trans, funcname: <module>
<string>(1):  --- modulename: execution_path_trans, funcname: test
execution_path_trans.py(88):         return KappaCalculator.fleiss_kappa([[0, 1, 0, 0, 14], [0, 2, 6, 4, 2], [0, 0, 3, 5, 6], [0, 3, 9, 2, 0], [2, 2, 8, 1, 1], [7, 7, 0, 0, 0], [3, 2, 6, 3, 0], [2, 5, 3, 2, 2], [6, 5, 2, 1, 0], [0, 2, 2, 3, 7]], 10, 5, 14)
 --- modulename: execution_path_trans, funcname: fleiss_kappa
execution_path_trans.py(63):         dataMat = np.mat(testData, float)
execution_path_trans.py(64):         oneMat = np.ones((k, 1))
execution_path_trans.py(65):         sum = 0.0
execution_path_trans.py(66):         newP0_1 = 0.0
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(72):             temp = temp - n
execution_path_trans.py(73):             temp /= (n - 1) * n
execution_path_trans.py(74):             newP0_1 += temp
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(72):             temp = temp - n
execution_path_trans.py(73):             temp /= (n - 1) * n
execution_path_trans.py(74):             newP0_1 += temp
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(72):             temp = temp - n
execution_path_trans.py(73):             temp /= (n - 1) * n
execution_path_trans.py(74):             newP0_1 += temp
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(72):             temp = temp - n
execution_path_trans.py(73):             temp /= (n - 1) * n
execution_path_trans.py(74):             newP0_1 += temp
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(72):             temp = temp - n
execution_path_trans.py(73):             temp /= (n - 1) * n
execution_path_trans.py(74):             newP0_1 += temp
execution_path_trans.py(67):         for i in range(N):
execution_path_trans.py(68):             temp = 0.0
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
execution_path_trans.py(70):                 sum += dataMat[i, j]
execution_path_trans.py(71):                 temp += 1.0 * dataMat[i, j] ** 2
execution_path_trans.py(69):             for j in range(k):
