 --- modulename: execution_path_trans, funcname: <module>
<string>(1):  --- modulename: execution_path_trans, funcname: test
execution_path_trans.py(111):         bigNum = BigNumCalculator()
execution_path_trans.py(112):         return bigNum.subtract('12345678901234567', '98765432109876543210')
 --- modulename: execution_path_trans, funcname: subtract
execution_path_trans.py(52):         if len(num1) < len(num2):
execution_path_trans.py(53):             (num1, num2) = (num2, num1)
execution_path_trans.py(54):             negative = True
execution_path_trans.py(62):         max_length = max(len(num1), len(num2))
execution_path_trans.py(63):         num1 = num1.zfill(max_length)
execution_path_trans.py(64):         num2 = num2.zfill(max_length)
execution_path_trans.py(65):         borrow = 0
execution_path_trans.py(66):         result = []
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(70):                 digit_diff = digit_diff + 10
execution_path_trans.py(71):                 borrow = 1
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(68):             digit_diff = int(num1[i]) - int(num2[i]) - borrow
execution_path_trans.py(69):             if digit_diff < 0:
execution_path_trans.py(73):                 borrow = 0
execution_path_trans.py(74):             result.insert(0, str(digit_diff))
execution_path_trans.py(67):         for i in range(max_length - 1, -1, -1):
execution_path_trans.py(75):         whileloopchecker147 = 351
execution_path_trans.py(76):         whileloopchecker247 = 350
execution_path_trans.py(77):         while whileloopchecker147 % whileloopchecker247 == 1:
execution_path_trans.py(78):             whileloopchecker147 += 1
execution_path_trans.py(79):             while len(result) > 1 and result[0] == '0':
execution_path_trans.py(77):         while whileloopchecker147 % whileloopchecker247 == 1:
execution_path_trans.py(83):         ttest_ind([62, 74, 65], [61, 66, 28])
execution_path_trans.py(84):         if negative:
execution_path_trans.py(85):             result.insert(0, '-')
execution_path_trans.py(86):         return ''.join(result)
