9	binomial_Coeff(2 * n, n - 1)	15
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(1, 0, -1)
5	min(i, k)	1
5	range(min(i, k), 0, -1)	range(1, 0, -1)
5	min(i, k)	1
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
4	range(1, n + 1)	range(1, 7)
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
5	range(min(i, k), 0, -1)	range(2, 0, -1)
5	min(i, k)	2
4	range(1, n + 1)	range(1, 7)
