 --- modulename: execution_path, funcname: <module>
<string>(1):  --- modulename: execution_path, funcname: test
execution_path.py(50):             lemmatization = Lemmatization()
 --- modulename: execution_path, funcname: __init__
execution_path.py(18):         self.lemmatizer = WordNetLemmatizer()
execution_path.py(51):             result = lemmatization.lemmatize_sentence("Until the beating, Cantanco's eyesight had been weak, but adequate.")
 --- modulename: execution_path, funcname: lemmatize_sentence
execution_path.py(21):         lemmatized_words = []
execution_path.py(22):         sentence = self.remove_punctuation(sentence)
 --- modulename: execution_path, funcname: remove_punctuation
execution_path.py(47):         return sentence.translate(str.maketrans('', '', string.punctuation))
execution_path.py(23):         words = word_tokenize(sentence)
execution_path.py(24):         tagged_words = pos_tag(words)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(27):                 lemmatized_word = self.lemmatizer.lemmatize(word, pos='v')
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(27):                 lemmatized_word = self.lemmatizer.lemmatize(word, pos='v')
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(29):                 lemmatized_word = self.lemmatizer.lemmatize(word, pos='a')
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(30):             elif tag.startswith('R'):
execution_path.py(33):                 lemmatized_word = self.lemmatizer.lemmatize(word)
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(26):             if tag.startswith('V'):
execution_path.py(28):             elif tag.startswith('J'):
execution_path.py(29):                 lemmatized_word = self.lemmatizer.lemmatize(word, pos='a')
execution_path.py(34):             lemmatized_words.append(lemmatized_word)
execution_path.py(25):         for word, tag in tagged_words:
execution_path.py(35):         return lemmatized_words
execution_path.py(52):             expected = ['Until', 'the', 'beating', 'Cantancos', 'eyesight', 'have', 'be', 'weak', 'but', 'adequate']
execution_path.py(53):             return result,expected
