 --- modulename: execution_path, funcname: <module>
<string>(1):  --- modulename: execution_path, funcname: test
execution_path.py(56):             tricalculator = TriCalculator()
 --- modulename: execution_path, funcname: __init__
execution_path.py(12):         pass
execution_path.py(57):             return tricalculator.tan(60)
 --- modulename: execution_path, funcname: tan
execution_path.py(49):         if self.cos(x) != 0:
 --- modulename: execution_path, funcname: cos
execution_path.py(15):         return round(self.taylor(x, 50), 10)
 --- modulename: execution_path, funcname: taylor
execution_path.py(25):         a = 1
execution_path.py(26):         x = x / 180 * pi
execution_path.py(27):         count = 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(30):                 a -= (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(32):                 a += (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(30):                 a -= (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(32):                 a += (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(30):                 a -= (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(32):                 a += (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(22):         return b
execution_path.py(33):             count += 1
execution_path.py(28):         for k in range(1, n):
execution_path.py(29):             if count % 2 != 0:
execution_path.py(30):                 a -= (x ** (2 * k)) / self.factorial(2 * k)
 --- modulename: execution_path, funcname: factorial
execution_path.py(18):         b = 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
execution_path.py(20):             b *= a
execution_path.py(21):             a -= 1
execution_path.py(19):         while a != 1:
