 --- modulename: execution_path, funcname: <module>
<string>(1):  --- modulename: execution_path, funcname: test
execution_path.py(44):             self.board_size = 10
execution_path.py(45):             self.gomokuGame = GomokuGame(self.board_size)
 --- modulename: execution_path, funcname: __init__
execution_path.py(8):         self.board_size = board_size
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
execution_path.py(9):         self.board = [[' ' for _ in range(board_size)] for _ in range(board_size)]
 --- modulename: execution_path, funcname: <listcomp>
